"English" "French" "Word.type" "Example" "Translation"
"presentation" "présentation  " "feminine noun " "j'ai écouté avec intérêt la présentation de mon collègue " "I listened with interest to the presentation of my colleague "
"forest" "forêt  " "feminine noun " "de ma fenêtre, on voyait la forêt " "from my window you could see the forest "
"tool" "outil  " "masculine noun " "ça m'a donné les outils pour atteindre mes buts " "that gave me the wherewithal to achieve my goals "
"vacancy; vacation" "vacance  " "feminine noun " "moi, j'ai interrompu mes vacances " "as for me, I had to interrupt my vacation "
"sufficiently" "suffisamment  " "adverb " "je ne l'ai pas dit suffisamment " "I haven't said it enough "
"challenge" "défi  " "masculine noun " "tu es peut-être venu me lancer un défi " "maybe you came to challenge me "
"front, forehead" "front  " "masculine noun " "le moustique vibrait autour de son front " "the mosquito buzzed around his forehead "
"to suspend, postpone" "suspendre  " "verb " "il faut suspendre la séance pour quelques instants " "the hearing will have to be suspended for a little while "
"calm" "calme  " "noun/adjective (no distinct feminine) " "le temps est désormais très calme " "the weather has since been very calm "
"mountain" "montagne  " "feminine noun " "il atteignit le sommet de la grande montagne " "he reached the summit of the great mountain "
"severe" "sévère  " "adjective (no distinct feminine) " "ils sont contrôlés de façon sévère, de façon méticuleuse " "they are strictly, meticulously controlled "
"apparently" "apparemment  " "adverb " "apparemment, ces moulins tournent encore " "apparently, these mills are still turning "
"presidency" "présidence  " "feminine noun " "vous devez comprendre que la présidence a une mission " "you must understand that the presidency has a mission "
"store" "magasin  " "masculine noun " "il travaillait dans un petit magasin en face " "he worked in a little shop across the street "
"superintendent, commissioner" "commissaire  " "masculine noun,feminine noun " "excusez-moi, je vois que le commissaire vient d'arriver " "excuse me, I see the commissioner has just arrived "
"writer" "écrivain  " "masculine noun " "ma chérie, devenir écrivain est tout aussi dur " "my dear, becoming a writer is just as hard "
"monetary" "monétaire  " "adjective (no distinct feminine) " "le travailleur désire une élévation de salaire monétaire " "the worker wants an increase in monetary salary "
"work" "ouvrage  " "masculine noun " "il s'agit du seul ouvrage de référence sur le sujet " "it's the only reference work on the subject "
"reputation" "réputation  " "feminine noun " "nous sommes fiers de notre réputation " "we're proud of our reputation "
"cabinet, agency, office" "cabinet  " "masculine noun " "les députés ministériels sont les membres du Cabinet " "the deputy ministers are Cabinet ministers "
"space, gap" "écart  " "masculine noun " "elle est un peu à l'écart de la route " "it's a little bit off the road "
"dog" "chien  " "masculine noun " "notre mère avait peur des chiens " "our mother was afraid of dogs "
"surveillance, monitoring" "surveillance  " "feminine noun " "les caméras de surveillance l'ont bien vue " "the surveillance cameras sure saw it "
"essential" "indispensable  " "adjective (no distinct feminine) " "le gouvernement français estime cette opération indispensable " "the French government deems this operation essential "
"conversation" "conversation  " "feminine noun " "notre conversation a duré deux heures " "our conversation lasted two hours "
"surface" "surface  " "feminine noun " "les eaux de surface sont très chaudes " "the surface water is very hot "
"to congratulate" "féliciter  " "verb " "je voulais te féliciter pour cette victoire " "I wanted to congratulate you on this victory "
"surely" "sûrement  " "adverb " "quelqu'un a sûrement besoin d'aide " "someone surely needs help "
"bomb" "bombe  " "feminine noun " "une vingtaine de bombes sont tombées sur la capitale " "some twenty bombs fell on the capital "
"efficiency, effectiveness" "efficacité  " "feminine noun " "les chercheurs pourront vérifier l'efficacité du traitement " "the researchers will be able to verify the effectiveness of the treatment "
"euro" "euro  " "masculine noun " "à 21 euros, ce n'est pas très cher " "at 21 euros, it's not very expensive "
"phase" "phase  " "feminine noun " "toute maladie est une phase de guérison " "each sickness is a phase of healing "
"confusion, mix-up" "confusion  " "feminine noun " "j'ai cru mourir de confusion " "I thought I would die from confusion "
"precision" "précision  " "feminine noun " "il faut une certaine précision dans la loi " "the law must have some degree of precision "
"competence" "compétence  " "feminine noun " "nous voulons qu'ils acquièrent les compétences nécessaires " "we want them to acquire the necessary competency "
"balance sheet, outcome" "bilan  " "masculine noun " "pouvez-vous proposer un bilan de ces épreuves? " "can you suggest an outcome for these tests? "
"immense" "immense  " "adjective (no distinct feminine) " "nous vivons dans un territoire immense " "we live in an immense territory "
"massive" "massif  " "noun/adjective " "une faillite institutionnelle massive se produit " "a massive institutional failure took place "
"fall" "chute  " "feminine noun " "quelques mois après la chute du mur de Berlin, en avril 1990 " "a few months after the fall of the Berlin wall, in April 1990 "
"constant" "constant  " "adjective " "vous travailliez tous de façon constante " "you all work in a consistent manner "
"healthy, sane" "sain  " "adjective " "si vous menez une vie saine, vos réduisez vos risques " "if you live a healthy life, you reduce your risks "
"to integrate" "intégrer  " "verb " "l'art est une tentative pour intégrer le mal " "art is an attempt to integrate evil "
"aerial" "aérien  " "adjective " "les renforts aériens arrivent " "air support is arriving "
"contrary" "contrairement  " "adverb " "contrairement à une idée couramment répandue " "contrary to a commonly held idea "
"stone" "pierre  " "feminine noun " "on nous lance des pierres par la fenêtre " "they were throwing stones out the window at us "
"socialist" "socialiste  " "noun/adjective (no distinct feminine) " "les pays que nous appelons socialistes aujourd'hui ne le sont pas du tout " "countries that we call socialist today really aren't at all "
"strongly" "fortement  " "adverb " "encore une fois, j'insiste fortement " "again, I strongly insist "
"regular" "régulier  " "adjective " "travaillez-vous avec des clients réguliers " "do you work with regular clients? "
"box" "boîte  " "feminine noun " "elle va vérifier plusieurs fois sa boîte aux lettres " "she went several times to look in her mailbox "
"to finance" "financer  " "verb " "il a déjà financé des films en Europe " "he has already financed films in Europe "
"theory" "théorie  " "feminine noun " "je crois me souvenir de tes théories " "I think I remember your theories "
"hotel" "hôtel  " "masculine noun " "il change d'hôtel chaque soir " "he changes hotels every night "
"to deny" "nier  " "verb " "vous ne pouvez pas le nier et les autres non plus " "you can't deny it, neither can the others "
"phenomenon" "phénomène  " "masculine noun " "je suis un phénomène, non? " "I'm a phenomenon, right? "
"over there, out there" "là-bas  " "adverb " "il y a deux mecs là-bas qui vous cherchent " "there are two guys over there looking for you "
"to astonish, amaze" "étonner  " "verb " "évidemment, ça a étonné tout le monde " "evidently this stunned the whole world "
"totality, entirety" "totalité  " "feminine noun " "toute totalité, paradoxalement, est restrictive " "entirety is, paradoxically, restrictive "
"fate, curse" "sort  " "masculine noun " "le sort de la pièce était entre mes mains " "the outcome of the play was in my hands "
"to access, reach, attain" "accéder  " "verb " "j'ai besoin d'accéder à ces données " "I need to access this data "
"church" "église  " "feminine noun " "vous allez toujours à l'église? " "do you still go to church? "
"to get back, recover, recuperate" "récupérer  " "verb " "nous avons récupéré vos armes " "we recovered your weapons "
"to endow, provide" "doter  " "verb " "vous êtes dotée d'un superbe vocabulaire " "you're endowed with a superb vocabulary "
"contribution" "contribution  " "feminine noun " "nous reconnaissons leur contribution dans le domaine médical " "we recognize their contribution to the medical domain "
"depth" "profondeur  " "feminine noun " "ce serait sous-estimer la profondeur de la crise " "that would be to underestimate the gravity of the crisis "
"to emit, issue" "émettre  " "verb " "ce sont eux qui émettent le plus de CO2 " "that's what emits the most carbon dioxide "
"test" "test  " "masculine noun " "j'ai eu un test de Q. I. cette année " "I had an IQ test this year "
"vice-president" "vice-président  " "masculine noun " "le vice-président sortant a passé la nuit dans sa résidence " "the outgoing vice-president spent the night in his residence "
"fishing; peach" "pêche  " "feminine noun " "tu viens à la pêche cet après-midi? " "are you coming fishing this afternoon? "
"discovery" "découverte  " "feminine noun " "cette découverte l'amusa toute la soirée " "this discovery kept her happy all evening "
"potential" "potentiel  " "noun/adjective " "elle a vraiment un bon potentiel! " "she really has great potential! "
"agricultural, farming" "agricole  " "adjective (no distinct feminine) " "les subventions agricoles sont des taxes " "farm subsidies are taxes "
"intellectual" "intellectuel  " "noun/adjective " "je crois que la vie intellectuelle changerait profondément " "I think that intellectual life would change dramatically "
"gas, petrol" "essence  " "feminine noun " "ta moto n'a plus d'essence " "your motorbike ran out of petrol "
"to lean, tilt" "pencher  " "verb " "vous penchez à gauche, ça tourne à gauche " "lean to the left and it turns to the left "
"artist" "artiste  " "noun/adjective (no distinct feminine) " "l'artiste refait le monde à son compte " "the artist remakes the world according to his own fashion "
"corner" "coin  " "masculine noun " "ils vivent peut-être ici, au coin de la rue " "maybe they live here, on the street corner "
"tension" "tension  " "feminine noun " "parler pour briser la tension " "say something to break the tension "
"gift" "don  " "masculine noun " "elle a le don de communiquer avec la musique " "she has the gift of communication through music "
"uniform, steady, regular" "uniforme  " "adjective (no distinct feminine),masculine noun " "vous ne portiez pas d'uniforme, quoique armé " "you weren't wearing a uniform, even though you were armed "
"faithful" "fidèle  " "noun/adjective (no distinct feminine) " "tes hommes te sont fidèles " "your men are faithful to you "
"strike" "grève  " "feminine noun " "nous allons faire grève demain " "we're going on strike tomorrow "
"purchase" "achat  " "masculine noun " "il est devenu responsable des achats " "he became the purchasing agent "
"to mention" "mentionner  " "verb " "ces points ont déjà été mentionnés par le rapporteur " "these points were already mentioned by the reporter "
"execution, accomplishment" "exécution  " "feminine noun " "dans sa cellule, avant l'exécution, il en refuse les secours " "in his cell, before the execution, he refuses help "
"to distinguish" "distinguer  " "verb " "c'est cela qui nous distingue des orientaux " "that's what distinguishes us from the Orientals "
"to exploit" "exploiter  " "verb " "les Américains veulent exploiter notre pétrole " "the Americans want to exploit our oil "
"administrative" "administratif  " "noun/adjective " "j'occupe actuellement un poste administratif " "I currently hold an administrative position "
"effective; size, workforce" "effectif  " "noun/adjective " "Volkswagen supprime un quart de ses effectifs aux Etats-Unis " "Volkswagen is eliminating a quarter of its workforce in the U.S. "
"community, communal" "communautaire  " "adjective (no distinct feminine) " "une intervention au niveau communautaire ne se justifiait pas " "community intervention was not justified "
"individual" "individuel  " "adjective " "la religion se fait sur une base individuelle " "religion happens at an individual level "
"to make easier, facilitate" "faciliter  " "verb " "je voudrais faciliter votre décision " "I would like to facilitate your decision "
"original" "original  " "noun/adjective " "dire que la ville était belle était original " "to say that the city was beautiful was quite a stretch "
"surprise" "surprise  " "feminine noun " "j'étais plutôt content, c'était la bonne surprise " "I was rather pleased "
"to look after, stay up" "veiller  " "verb " "ne veille pas trop tard, cela use les yeux " "don't stay up too late, it wears out your eyes "
"debt" "dette  " "feminine noun " "je vais régler ma dette " "I'm going to take care of my debt "
"capital" "capitale  " "feminine noun " "nous ne sommes pas la capitale de l'État mais nous grandissons " "we're not the state capital but we're growing "
"holding, maintaining" "maintien  " "masculine noun " "le maintien de la paix ne se limite plus " "maintaining peace has no limits "
"to sing" "chanter  " "verb " "il chantait la mélodie " "he sang the melody "
"pension; room and board, boarding school" "pension  " "feminine noun " "elle ira directement du camp en pension " "she'll go directly from the camp to a boarding school "
"review, magazine, journal" "revue  " "feminine noun " "la revue n'a pas publié les résultats des travaux " "the journal didn't publish the results of the work "
"to close" "clore  " "verb " "pour moi, le sujet est clos " "for me, the subject is moot "
"snow" "neige  " "feminine noun " "ils ne peuvent plus pelleter la neige " "they can't shovel snow any more "
"face; figure" "figure  " "feminine noun " "sa figure était maigre et pâle, un peu effrayante " "his face was lean and pale, somewhat frightening "
"mass" "masse  " "feminine noun " "l'entreprise doit atteindre une masse critique " "the company must achieve critical mass "
"sensitive, touchy" "susceptible  " "adjective (no distinct feminine) " "oh! ce que vous pouvez être susceptible mon ami " "gee, can you ever be touchy, my friend "
"narrow, tight" "étroit  " "adjective " "ils demeurèrent quelques instants dans l'étroit couloir " "they lingered for a few moments in "
"taste" "goût  " "masculine noun " "le goût n'a rien à voir avec l'appétit " "taste has nothing to do with appetite "
"benefit" "prestation  " "feminine noun " "de nombreuses prestations ont été éliminées " "numerous benefits were eliminated "
"to reign" "régner  " "verb " "un silence de mort règne dans la salle " "a deathly silence filled the room "
"catastrophe, disaster" "catastrophe  " "feminine noun " "les agriculteurs subissent déjà beaucoup de catastrophes naturelles " "farmers are already suffering from many natural disasters "
"to go out again, come out again, take out again" "ressortir  " "verb " "sur un fond noir, les couleurs ressortaient mieux " "on a black background the colours showed up better "
"operation, exploitation" "exploitation  " "feminine noun " "il s'agit d'une exploitation intellectuelle de l'enfant " "it's all about intellectual exploitation of children "
"demonstration, event" "manifestation  " "feminine noun " "on en attendait des manifestations spectaculaires " "a spectacular event was expected "
"to sleep" "dormir  " "verb " "je ne faisais que dormir sur la plage " "all I did was sleep on the beach "
"bed" "lit  " "masculine noun " "je sautai joyeusement du lit " "I jumped joyfully out of the bed "
"mouth" "bouche  " "feminine noun " "des mots sortirent mécaniquement de ma bouche " "words left my mouth automatically "
"excuse, apology" "excuse  " "feminine noun " "tu pouvais t'inventer une meilleure excuse " "you could have come up with a better excuse "
"the day before, the eve of, night watch" "veille  " "feminine noun " "on s'était fiancés la veille " "we were engaged the night before "
"glad, pleased, happy" "content  " "adjective " "elles étaient très contentes d'y aller " "they were very happy to go there "
"to reassure, calm down" "rassurer  " "verb " "le premier travail consiste à rassurer le gosse " "the first task is to calm the kid down "
"sad" "triste  " "adjective (no distinct feminine) " "ouais, ouais, ne sois pas triste pour ça " "yeah, yeah, don't be sad about that "
"Latin" "latin  " "noun/adjective " "l'anglais est encore plus latin que le français " "English is more Latin than French is "
"classic" "classique  " "noun/adjective (no distinct feminine) " "j'ai étudié la musique classique " "I studied classical music "
"alliance" "alliance  " "feminine noun " "nous reconnaissons nos obligations envers l'alliance " "we recognize our duty to the alliance "
"worry, concern" "préoccupation  " "feminine noun " "je pense que c'est une préoccupation que nous partageons " "I think it's a concern we share "
"trace, mark, track" "trace  " "feminine noun " "l'histoire humaine laisse d'éternelles traces " "human history is leaving behind eternal footprints "
"accommodation" "logement  " "masculine noun " "ils ont trouvé un logement et fait venir leur famille " "they found a place to live and had their "
"language" "langage  " "masculine noun " "je parle le langage de la passion " "I speak the language of passion "
"moan, groan, complaint" "plainte  " "feminine noun " "quand cette femme a porté plainte, sa vie a été menacée " "when this woman filed a complaint, her life was threatened "
"warm, hot" "chaud  " "adverb,noun/adjective " "il y a du café chaud dans le coffre sous la banquette " "there's hot coffee in the box under the bench "
"to keep quiet" "taire  " "verb " "oh, tais toi, tu n'as pas honte " "oh, shut up, you have no shame "
"emotion, feeling" "émotion  " "feminine noun " "je fis de mon émotion un événement " "I turned my emotions into a spectacle "
"judiciary" "judiciaire  " "adjective (no distinct feminine) " "nous devons préserver l'indépendance du pouvoir judiciaire " "we must preserve the judiciary's independence "
"to progress" "progresser  " "verb " "nous avons pas mal progressé à ce sujet " "we have progressed quite well on this topic "
"help, aid, assistance" "secours  " "masculine noun (no distinct plural) " "une jeune fille appelait au secours " "a young girl was crying for help "
"to confront" "confronter  " "verb " "elle est confrontée à des défis plus nombreux " "she was confronted by numerous challenges "
"strict, absolute" "strict  " "adjective " "ce serait son strict devoir " "this would be his strict duty "
"club" "club  " "masculine noun " "j'arrivais dans un club qui avait gagné deux championnats " "I joined a club that had won two championships "
"worker" "ouvrier  " "noun/adjective " "l'Allemand a toujours été bon ouvrier " "the German has always been a hard worker "
"suffering" "souffrance  " "feminine noun " "je connais les souffrances du monde " "I know the sufferings of the world "
"observation" "observation  " "feminine noun " "j'ai trouvé l'observation astucieuse " "I found the observation astute "
"to restore, re-establish" "rétablir  " "verb " "parfois, j'ai envie de rétablir quelques vérités " "sometimes I want to re-establish some truths "
"building" "immeuble  " "noun/adjective (no distinct feminine) " "j'habite dans cet immeuble " "I live in this building "
"passion" "passion  " "feminine noun " "lirait-il avec passion les journaux? " "would he read newspapers with passion? "
"break, rupture" "rupture  " "feminine noun " "il y a eu rupture des négociations, reprise des négociations " "negotiations broke down, then restarted "
"office, bureau" "office  " "masculine noun " "il perd son emploi à l'office des jardins " "he lost his job at the gardening office "
"to complicate" "compliquer  " "verb " "le système actuel s'avère-t-il compliqué " "the current system proves too complicated "
"to assume" "assumer  " "verb " "les autorités font assumer la responsabilité des troubles " "the authorities will assume responsibility for the confusion "
"partial" "partiel  " "noun/adjective " "elle travaille à temps partiel " "she works part-time "
"to feel, experience" "éprouver  " "verb " "je n'éprouvais aucune hâte à procéder " "I didn't feel any need to continue "
"appointment" "rendez-vous  " "masculine noun (no distinct plural) " "oui, nous avions un rendez-vous clandestin " "yes, we had a secret rendezvous "
"argument" "argument  " "masculine noun " "j'ai entendu des arguments peu convaincants " "I heard fairly unconvincing arguments "
"planet" "planète  " "feminine noun " "toute la planète est fatiguée de ce conflit " "the whole planet is tired of this conflict "
"mayor" "maire  " "masculine noun " "il a fait 3 mandats comme maire " "he filled three terms as mayor "
"delicate, fine, gentle" "délicat  " "dj " "c'est toujours délicat d'embaucher des amies! " "it's always tricky to hire girlfriends "
"attack, assassination attempt" "attentat  " "masculine noun " "il s'agit d'un attentat de la guérilla " "it was a guerrilla attack "
"to drink" "boire  " "masculine noun,verb " "vous boirez quelque chose? " "would you like something to drink? "
"wealth, richness" "richesse  " "feminine noun " "ce sera mon passeport pour la richesse, l'indépendance " "this will be my passport to riches, independence "
"till, cash desk" "caisse  " "feminine noun " "tu vas passer à la caisse! " "you must go to the cashier! "
"chance, luck" "hasard  " "masculine noun " "on ne laissait rien au hasard " "nothing was left to chance "
"hero" "héros  " "masculine noun (no distinct plural) " "un héros lui aurait sauvé la vie " "a hero would have saved her life "
"ear" "oreille  " "feminine noun " "il s'introduisit un doigt dans l'oreille " "he stuck a finger in his ear "
"incident" "incident  " "adjective,masculine noun " "fort heureusement, l'incident n'a pas fait de victime " "very fortunately, the incident was without victims "
"coffee, café" "café  " "masculine noun " "Amélie est serveuse dans un café de Montmartre " "Amélie is a waitress in a Montmartre café "
"announcement" "annonce  " "feminine noun " "il n'y a pas eu d'annonce à ce sujet " "there was no announcement concerning this "
"regularly" "régulièrement  " "adverb " "elle a promis de venir régulièrement " "she promised to come regularly "
"bridge" "pont  " "masculine noun " "il fallait jeter un pont entre l'Est et l'Ouest " "a bridge had to be built between the East and the West "
"to f*ck, shove off" "foutre  " "verb,masculine noun " "va te faire foutre " "go f*ck yourself "
"to see, notice" "apercevoir  " "verb " "on aperçoit la sortie du tunnel " "you can see the exit of the tunnel "
"to reflect" "refléter  " "verb " "la pièce d'eau reflétait la majestueuse façade d'un palais de pierre " "the ornamental pool reflected the majestic facade of a stone palace "
"to move, shift, budge" "bouger  " "verb " "je reste là. je ne bouge pas " "I'll stay here. I won't budge "
"crowd" "foule  " "feminine noun " "il y a foule chez toi, ce soir " "there's a crowd at your place tonight "
"Christian" "chrétien  " "noun/adjective " "la moitié des habitants sont de confession chrétienne " "half of the inhabitants are Christians "
"to isolate, insulate" "isoler  " "verb " "il se sentait isolé, isolé psychologiquement " "he felt isolated, psychologically alone "
"norm, standard" "norme  " "feminine noun " "nous appliquons désormais les normes d'hygiène " "from now on we are applying hygiene standards "
"equality" "égalité  " "feminine noun " "l'égalité des hommes et des femmes est garantie " "equality for men and women is guaranteed "
"dress, outfit" "tenue  " "feminine noun " "il est rare qu'on me complimente sur ma tenue " "rarely do I receive compliments on my outfit "
"to lead, conduct, animate" "animer  " "verb " "le vin suscitait des conversations animées " "the wine gave rise to animated conversations "
"statistics, statistical" "statistique  " "feminine noun " "je suis tombé sur une statistique très intéressante " "I came across an interesting statistic "
"track, trail" "piste  " "feminine noun " "c'est là où la piste s'arrête " "that's where the trail ends "
"to preserve" "préserver  " "verb " "dans le bocal, mes larmes préservent le cœur de mon fils " "inside the jar, my tears preserved my son's heart "
"homage, tribute" "hommage  " "masculine noun " "il a ensuite rendu hommage au président " "then he paid homage to the president "
"inferior" "inférieur  " "noun/adjective " "il déclare qu'elle lui est inférieure en amitié " "he declares that she is less loving than he "
"match, game" "match  " "masculine noun " "je n'avais pas gagné un match depuis deux mois " "I hadn't won a match in two months "
"point, tip" "pointe  " "feminine noun " "la longue pointe de mon parapluie était comme un doigt " "the long tip of my umbrella was like a finger "
"governmental" "gouvernemental  " "adjective " "on va alléger l'appareil gouvernemental " "we're going to lighten the governmental apparatus "
"to execute, carry out" "exécuter  " "verb " "je suis ici pour exécuter vos ordres " "I'm here to carry out your orders "
"tragedy" "tragédie  " "feminine noun " "la tragédie a commencé. Hitler a attaqué l'URSS " "the tragedy began. Hitler invaded the Soviet Union "
"distribution" "distribution  " "feminine noun " "j'ai participé à un programme de distribution de petits déjeuners " "I participated in a breakfast distribution program "
"scandal, uproar" "scandale  " "masculine noun " "il y aurait eu un petit scandale dans le famille " "there was a little scandal in the family "
"Iraqi" "irakien  " "noun/adjective " "Hussein est totalement coupé de la population irakienne " "Hussein is totally cut off from the Iraqi population "
"Chinese" "chinois  " "noun/adjective (no distinct plural) " "la main-d'œuvre chinoise a contribué de façon importante au développement économique " "Chinese manpower contributed greatly to economic development "
"benefit, profit" "bénéfice  " "masculine noun " "l'entreprise fait des bénéfices " "the company is making profits "
"ticket" "billet  " "masculine noun " "j'ai pas de billet pour le match de demain " "I don't have a ticket for tomorrow's game "
"shock, clash" "choc  " "masculine noun " "elle est en état de choc " "she's in a state of shock "
"proportion" "proportion  " "feminine noun " "la fréquence des agressions atteint des proportions alarmantes " "the frequency of attacks is reaching alarming proportions "
"canal, channel" "canal  " "masculine noun " "l'utilisation du canal sémaphore est suspendue " "the use of a semaphore channel is discontinued "
"to break" "briser  " "verb " "vous m'avez brisé le cœur " "you broke my heart "
"destruction" "destruction  " "feminine noun " "votre salut est sa destruction " "your salvation is his destruction "
"to move back, back up" "reculer  " "verb " "ils ne reculent devant rien " "they don't back down from anything "
"criterion, criteria" "critère  " "masculine noun " "selon quels critères ces traits sont-ils sélectionnés? " "according to what criteria were these features selected? "
"guardian, keeper" "gardien  " "noun/adjective " "nous sommes les gardiens de cette planète " "we are the guardians of this planet "
"address" "adresse  " "feminine noun " "on a une adresse Internet " "we have an Internet address "
"reception" "réception  " "feminine noun " "les mêmes invités étaient présents à chaque réception " "the same invited guests were at each reception "
"conservative" "conservateur  " "noun/adjective " "dans les auteurs, y a un conservateur " "among the authors, there is a conservative one "
"yeah" "ouais  " "interjection " "j'aime mon job. ouais, bien sûr " "I like my job. yeah, of course "
"to transport, carry" "transporter  " "verb " "il transporta des milliers d'hommes ici " "it transported thousands of men here "
"to burn" "brûler  " "verb " "je sais que Lucy brûlait d'une passion secrète pour vous " "I know Lucy was burning up with a secret passion for you "
"manoeuvre" "manœuvre  " "masculine noun,feminine noun " "nous étions trois soldats à faire la manœuvre " "three of us soldiers participated in the manoeuvre "
"currency, coin, change" "monnaie  " "feminine noun " "aujourd'hui, nous avons une monnaie stable " "today we have a stable currency "
"transmission" "transmission  " "feminine noun " "cette transmission est vraiment excellente " "this transmission is really excellent "
"any, some" "quelconque  " "adjective (no distinct feminine) " "est-ce qu'on a un vase quelconque? " "do we have some kind of vase? "
"mail, post" "courrier  " "masculine noun " "il y a peut-être du courrier " "maybe there's mail "
"to grow, increase, expand" "grandir  " "verb " "je ne grandis plus ... je grossis " "I'm not growing any taller ... just stouter "
"to work out, develop" "élaborer  " "verb " "cette vision a été élaborée avant le 11 septembre " "this vision was developed before September 11 "
"finger" "doigt  " "masculine noun " "il tapait du doigt sur la table, à coups secs " "he tapped his finger on the table repeatedly "
"to illustrate" "illustrer  " "verb " "cette manifestation illustre les craintes des citoyens " "this protest shows the citizens' fears "
"pocket" "poche  " "feminine noun " "je n'ai rien dans les poches " "I don't have anything in my pockets "
"to confront, face" "affronter  " "verb " "j'ai dû affronter la terrible réalité " "I had to confront the terrible reality "
"to burst, explode" "éclater  " "verb " "quand la guerre a éclaté, tout était perdu " "when war broke out, everything was lost "
"shame" "honte  " "feminine noun " "n'aie pas honte de tes origines " "don't be ashamed of your origins "
"weakness" "faiblesse  " "feminine noun " "c'est là ma faiblesse et ma force " "therein lies my weakness and my strength "
"federation" "fédération  " "feminine noun " "les fonctionnaires étaient convoqués par leurs fédérations " "the bureaucrats were called together by their federations "
"to squeeze, press" "presser  " "verb " "ils ont laissé un soldat chargé de presser le détonateur " "they left a soldier with the order to press the detonator "
"to mingle, mix" "mêler  " "verb " "la fiction se mêle constamment à l'autobiographie " "fiction constantly gets mixed in with autobiography "
"happiness" "bonheur  " "masculine noun " "aujourd'hui, ce bonheur n'est plus que souvenir " "today this happiness is merely a memory "
"to formulate" "formuler  " "verb " "je veux formuler un commentaire général " "I want to make a general comment "
"to shout, scream, cry out" "crier  " "verb " "ils se meurent. ils crient au secours " "they're dying. they cry out for help "
"poverty" "pauvreté  " "feminine noun " "ils vivent dans la pauvreté " "they live in poverty "
"building" "bâtiment  " "masculine noun " "il travaillait au deuxième étage du bâtiment " "he worked on the second floor of the building "
"husband, spouse" "époux  " "masculine noun (no distinct plural) " "je suis fier de l'avoir choisi comme époux " "I'm proud of having chosen him for a husband "
"medicine, drug, medication" "médicament  " "masculine noun " "je crois en les médicaments génériques peu coûteux " "I believe in cheap generic medications "
"firm" "firme  " "feminine noun " "il gérait les fonds de la firme " "he managed the firm's funds "
"to widen, expand" "élargir  " "verb " "nous devons élargir nos horizons " "we have to expand our horizons "
"elector, voter" "électeur  " "masculine noun " "je remercie également les électeurs de ma circonscription " "I also thank the voters in my district "
"to dive" "plonger  " "verb " "chaque matin, je plonge dans la mer " "every morning I take a dip in the sea "
"vehicle" "véhicule  " "masculine noun " "sortez du véhicule. vous aussi " "exit the vehicle. you too "
"to flee" "fuir  " "verb " "j'aggravai ma situation en voulant fuir " "I worsened my situation by wanting to flee "
"researcher" "chercheur  " "noun/adjective " "même si vous êtes un bon chercheur, la compétition est rude " "even if you're a good researcher, competition is fierce "
"to vary, change" "varier  " "verb " "on aime varier les plaisirs. varier, c'est bon " "we like to vary our pleasures. change is good "
"personality" "personnalité  " "feminine noun " "il était brillant et avait une riche personnalité " "he was brilliant and had a rich personality "
"to invent" "inventer  " "verb " "je n'ai pas pu inventer un tel souvenir " "I couldn't have invented such a memory "
"principally, mainly, primarily" "principalement  " "adverb " "c'est sur les femmes principalement qu'elle a exercé une grande influence " "it's primarily with women that she wields great influence "
"prudence, care, caution" "prudence  " "feminine noun " "la prudence est la meilleure attitude à adopter " "caution is the best policy "
"stadium, stage" "stade  " "masculine noun " "leurs recherches sont encore au stade préliminaire " "their research is still at the preliminary stage "
"liaison, connection" "liaison  " "feminine noun " "les liaisons ferroviaires ont été interrompues " "railroad connections were interrupted "
"consultation" "consultation  " "feminine noun " "après consultation confidentielle des professeurs " "after confidential consultation with the professors "
"Quebecker, Quebecer, Québécois" "québécois  " "noun/adjective (no distinct plural) " "il existe un marché pour le produit québécois en France " "there's a market for Quebecois products in France "
"to ordain, organize, order" "ordonner  " "verb " "soldat, je vous ordonne d'avancer ces catapultes " "soldier, I order you to move these catapults forward "
"hello" "bonjour  " "masculine noun " "voilà ma petite fille. bonjour, ma chérie. viens par ici " "there's my little girl. hello, dear. come here "
"ethics; moral" "morale  " "feminine noun " "la morale judéo-chrétienne me paraît l'une des plus belles " "to me the Judeo-Christian ethic seems among the finest "
"to contest, question" "contester  " "verb " "l'art conteste le réel " "art questions reality "
"necessarily" "nécessairement  " "adverb " "le bien n'est pas nécessairement beau " "what's good is not necessarily beautiful "
"determination, resolution" "détermination  " "feminine noun " "il peut avoir sans doute des déterminations égoïstes " "he certainly could have selfish resolve "
"congress, conference" "congrès  " "masculine noun (no distinct plural) " "c'est lui qui préside le congrès " "he's who presides over the conference "
"similar" "semblable  " "noun/adjective (no distinct feminine) " "nous avons vu un cas semblable ici " "we have seen a similar case here "
"to worry, preoccupy" "préoccuper  " "verb " "il nous faut sans doute nous préoccuper de l'avenir de nos enfants " "we need to be concerned about the future of our children "
"deposit, depot" "dépôt  " "masculine noun " "voici le mandat de dépôt du détenu " "here's the incarceration order for the prisoner "
"consideration" "considération  " "feminine noun " "j'aimerais que vous preniez en considération ma suggestion " "I would like you take my suggestion under consideration "
"to multiply" "multiplier  " "verb " "nous sommes maintenant en train de multiplier le danger nucléaire " "we're currently multiplying nuclear risks "
"lady" "dame  " "interjection,feminine noun " "une belle rose pour une belle dame " "a beautiful rose for a beautiful lady "
